"participant"	"half"	"as_numbers"	"as_factors"	"offset_from_sp"	"condition"	"Accuracy"	"acc_type"
"260"	"24"	"first"	3	"3"	3.22203821588321	"No_instructions"	0.541186736937508	"Expected"
"261"	"24"	"first"	4	"640"	12.5973203487428	"No_instructions"	0.500000231185942	"Expected"
"262"	"24"	"second"	-3	"-3"	-3.2524185571131	"No_instructions"	0.923981794191686	"Expected"
"263"	"24"	"second"	-2	"-2"	-2.15847128479618	"No_instructions"	0.866058459005889	"Expected"
"264"	"24"	"second"	-1	"-1"	-1.09453231215461	"No_instructions"	0.793934172756517	"Expected"
"265"	"24"	"second"	0	"0"	0	"No_instructions"	0.713023836335327	"Expected"
"266"	"24"	"second"	1	"1"	1.06413040966505	"No_instructions"	0.639870913623777	"Expected"
"267"	"24"	"second"	1.5	"284"	1.82412190700378	"No_instructions"	0.596444891735604	"Expected"
"268"	"24"	"second"	2	"2"	2.15847128479618	"No_instructions"	0.580284847548397	"Expected"
"269"	"24"	"second"	3	"3"	3.22203821588321	"No_instructions"	0.541186736937508	"Expected"
"270"	"24"	"second"	4	"640"	12.5973203487428	"No_instructions"	0.500000231185942	"Expected"
"271"	"25"	"first"	-3	"-3"	-3.22203821588321	"Instructions"	0.903174575049378	"Expected"
"272"	"25"	"first"	-2	"-2"	-2.15847128479618	"Instructions"	0.813020636713434	"Expected"
"273"	"25"	"first"	-1.5	"284"	-2.06728849639045	"Instructions"	0.804138708776906	"Expected"
"274"	"25"	"first"	-1	"-1"	-1.06413040966505	"Instructions"	0.703112597115704	"Expected"
"275"	"25"	"first"	0	"0"	0	"Instructions"	0.608788782425342	"Expected"
"276"	"25"	"first"	1	"1"	1.09453231215461	"Instructions"	0.75	"Expected"
"277"	"25"	"first"	2	"2"	2.15847128479618	"Instructions"	0.75	"Expected"
"278"	"25"	"first"	3	"3"	3.2524185571131	"Instructions"	0.75	"Expected"
"279"	"25"	"first"	4	"640"	8.73954036549999	"Instructions"	0.75	"Expected"
"280"	"25"	"second"	-3	"-3"	-3.22203821588321	"Instructions"	0.826587287524689	"Expected"
"281"	"25"	"second"	-2	"-2"	-2.15847128479618	"Instructions"	0.781510318356717	"Expected"
"282"	"25"	"second"	-1.5	"284"	-2.06728849639045	"Instructions"	0.771993850440618	"Expected"
