"participant"	"condition"	"first_-4_Expected"	"first_-3_Expected"	"first_-2_Expected"	"first_-1_Expected"	"first_0_Expected"	"first_1_Expected"	"first_2_Expected"	"first_3_Expected"	"first_4_Expected"	"second_-4_Expected"	"second_-3_Expected"	"second_-2_Expected"	"second_-1_Expected"	"second_0_Expected"	"second_1_Expected"	"second_2_Expected"	"second_3_Expected"	"second_4_Expected"
"10"	"No_instructions"	0.919765780470747	0.892574960835028	0.845223817817857	0.800877167276807	0.759642635332476	0.6671352339457	0.596659044833344	0.535448861553714	0.534722222533579	0.974090830221385	0.93244903918842	0.870102112563063	0.813935402356268	0.760624755597821	0.657042730387804	0.580487852290955	0.563648138022298	0.562500000271182
"11"	"Instructions"	0.999937104377724	0.997055853143447	0.9552846851797	0.790097998885094	0.75	0.75	0.75	0.75	0.75	0.758331236812591	0.764117477322483	0.75	0.752227666604728	0.741197348566714	0.75	0.75	0.75	0.730769230769231
"12"	"No_instructions"	0.862173474675936	0.802710627961476	0.789499630868959	0.761391568610183	0.724131815150672	0.71624505647696	0.715112251488343	0.658932224553905	0.544153955066035	0.866660413662973	0.812410847690498	0.778479357679813	0.754416517241916	0.72948385339536	0.700796085460146	0.704645926934846	0.679385949520408	0.658349499041306
"13"	"Instructions"	0.946289803289929	0.900493845438592	0.838786520858423	0.763098485892104	0.75	0.75	0.75	0.75	0.75	0.946289803289929	0.900493845438592	0.838786520858423	0.763098485892104	0.685445159053007	0.651442129418346	0.618848883048278	0.566864303395521	0.500002418814038
"14"	"No_instructions"	0.758149490148638	0.75	0.75	0.75	0.748464227337909	0.745544057828637	0.74199434075197	0.744208123171596	0.740740777866463	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
"15"	"Instructions"	0.977957999775078	0.944634903861957	0.883098701521908	0.798171661527153	0.75	0.75	0.75	0.75	0.75	0.961072222013961	0.926940821692688	0.862932231594346	0.79645124504404	0.733282581255809	0.718451718886253	0.643410937525332	0.59966739184394	0.509259391437001
"16"	"No_instructions"	0.801724137931034	0.79999999999463	0.77342550552051	0.760914230278481	0.70199201025457	0.685185186282714	0.69166666666667	0.683823529411765	0.616071428571429	0.75	0.765624999998322	0.75	0.752397823318757	0.742483597565109	0.734375000264583	0.727272727272729	0.735714285714286	0.735294117647059
"17"	"Instructions"	0.942473390758753	0.903162022000102	0.849091965173385	0.786404326396825	0.75	0.75	0.75	0.75	0.75	0.932069423690713	0.899131442473784	0.838661231997239	0.785333610914565	0.723090659803177	0.689986784530564	0.670609892552313	0.629054521356948	0.541703738518317
"18"	"No_instructions"	0.790930556459307	0.772755757445331	0.778642716563657	0.748219716169115	0.735639327340264	0.715580581904963	0.666743389236671	0.6724561089785	0.613780344321803	0.799199355744015	0.782359538654068	0.784146611119026	0.746978912286983	0.705658273892746	0.671858618378834	0.696128075388434	0.60907889035516	0.573715739710568
"19"	"Instructions"	0.999886412777531	0.996600362197049	0.963784631158841	0.831250930816988	0.75	0.75	0.75	0.75	0.75	0.999886412777531	0.989554637562848	0.951209064620085	0.824663017507502	0.644167826553024	0.59071650611389	0.58048365577745	0.562255616363734	0.618055555555556
"20"	"No_instructions"	0.914428012308232	0.890224776086295	0.82811929954284	0.708558807991073	0.58003172150696	0.519494348238006	0.502539496108123	0.525844537111203	0.5	0.918755065263712	0.929325915571897	0.855160595538438	0.705371023990387	0.596480264586931	0.539079795773339	0.524374246451524	0.510162879213632	0.507142857142857
"21"	"Instructions"	0.924680338883021	0.872654614018815	0.808248354825349	0.734536242084301	0.75	0.75	0.75	0.75	0.75	0.774261158178197	0.766138765002476	0.767798108418857	0.743632570270006	0.738680388270223	0.715452711385973	0.694668774919515	0.690175112671963	0.625013689820181
"22"	"No_instructions"	0.924019734222016	0.884983518681558	0.842820244644785	0.779955358087967	0.715481348459464	0.71117767707396	0.651194990054989	0.617006801589915	0.553031975650499	0.857089067213549	0.831102363615323	0.8145329205128	0.77446058826118	0.73082993217531	0.7287725895112	0.692547624490205	0.639771403119569	0.585938893180043
"23"	"Instructions"	0.9842004067701	0.958081924872874	0.906363632783591	0.829533802496652	0.75	0.75	0.75	0.75	0.75	0.963535664996267	0.941210417450749	0.888493503322609	0.817297832881783	0.738680058249199	0.685527830171291	0.677674954907476	0.63836481818789	0.648437504062592
"24"	"No_instructions"	0.911983049764673	0.862431632161955	0.792561229857875	0.713023836335327	0.639870913623777	0.601243488868866	0.580284847548397	0.541186736937508	0.500000231185942	0.923981794191686	0.866058459005889	0.793934172756517	0.713023836335327	0.639870913623777	0.596444891735604	0.580284847548397	0.541186736937508	0.500000231185942
"25"	"Instructions"	0.903174575049378	0.813020636713434	0.804138708776906	0.703112597115704	0.608788782425342	0.75	0.75	0.75	0.75	0.826587287524689	0.781510318356717	0.771993850440618	0.733959572697478	0.699007060320262	0.704475186077765	0.680121053005992	0.705211505922765	0.72058823977682
"26"	"No_instructions"	0.86443936941198	0.889349131795897	0.815906415090392	0.750171247127583	0.721740418264664	0.705894945545705	0.661241726284699	0.631215654212505	0.69166666666701	0.826397710898657	0.832319209338688	0.782356769399582	0.750070763275861	0.745322551988634	0.727028617471721	0.709655330129409	0.694567305299169	0.724137931034635
"3"	"Instructions"	0.837363910711164	0.77140934046933	0.70107194520242	0.638250044263305	0.75	0.75	0.75	0.75	0.75	0.834003760299196	0.77140934046933	0.70107194520242	0.645459718826963	0.602562349534538	0.591004641770046	0.555003242195218	0.538416106500951	0.531252672398583
"4"	"No_instructions"	0.75	0.75	0.75	0.75	0.743112509070169	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.74
"5"	"Instructions"	0.99146736738241	0.961543574284878	0.887137825732807	0.762085252011948	0.75	0.75	0.75	0.75	0.75	0.851670470476804	0.818608726795096	0.818568912866404	0.755552683356841	0.71773800058714	0.706484598920484	0.694444961154469	0.670482906842756	0.708333333333338
"6"	"No_instructions"	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
"7"	"Instructions"	0.997689056401829	0.982130872835248	0.920910699895742	0.794260240358329	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.754497649997256	0.751264578295952	0.75	0.75	0.744714303777193	0.75	0.75
