person	Trial	Color	Direction	Subject Position (0-40)	Accuracy (0 OR 1)	condition
5	24	R	N	0	1	table
5	25	Y	N	-10	1	table
5	26	R	N	0	1	table
5	27	Y	S	-10	1	table
5	28	B	S	-15	0	table
5	29	G	S	3	1	table
5	30	G	N	3	0	table
5	31	G	S	-1	1	table
5	32	B	N	-16	0	table
5	33	R	N	0	1	table
5	34	R	N	0	1	table
5	35	B	N	-15	1	table
5	36	Y	N	-10	1	table
5	37	B	S	16	1	table
5	38	R	S	0	1	table
5	39	Y	S	-10	0	table
5	40	Y	S	11	1	table
5	41	G	N	0	0	table
5	42	G	S	-2	1	table
5	43	Y	N	-10	1	table
5	44	B	N	16	0	table
5	45	R	S	0	1	table
5	46	B	S	-16	0	table
5	47	G	N	-3	1	table
5	48	B	S	16	1	table
6	1	R	N	0	1	sudoku
6	2	R	N	0	1	sudoku
6	3	Y	S	3	1	sudoku
6	4	B	S	4	1	sudoku
6	5	B	S	-2	0	sudoku
6	6	G	S	0	1	sudoku
6	7	Y	S	0	0	sudoku
6	8	R	N	0	1	sudoku
6	9	G	S	0	1	sudoku
6	10	Y	S	2	1	sudoku
6	11	B	S	4	1	sudoku
6	12	G	N	0	1	sudoku
6	13	R	S	0	1	sudoku
6	14	R	N	0	1	sudoku
6	15	G	N	0	0	sudoku
6	16	B	S	3	0	sudoku
6	17	B	S	-2	0	sudoku
6	18	B	S	4	1	sudoku
6	19	G	S	2	1	sudoku
6	20	R	N	0	1	sudoku
6	21	Y	N	-4	1	sudoku
6	22	Y	N	4	0	sudoku
6	23	G	N	0	1	sudoku
6	24	Y	S	-3	0	sudoku
6	25	Y	S	3	1	sudoku
6	26	B	S	1	0	sudoku
6	2	R	N	0	1	sudoku
6	28	R	N	0	1	sudoku
6	29	G	N	0	1	sudoku
6	30	G	S	0	1	sudoku
6	31	R	N	0	1	sudoku
6	32	B	N	-3	1	sudoku
6	33	B	S	4	0	sudoku
6	34	Y	N	-2	1	sudoku
6	35	Y	S	2	0	sudoku
6	36	G	S	0	1	sudoku
6	37	Y	S	0	0	sudoku
6	38	Y	N	0	1	sudoku
6	9	G	N	0	1	sudoku
6	40	R	N	0	1	sudoku
6	41	R	S	0	1	sudoku
6	42	G	S	0	0	sudoku
6	43	G	N	0	1	sudoku
6	44	R	S	0	1	sudoku
6	45	B	N	4	0	sudoku
6	46	B	N	-4	1	sudoku
6	47	Y	S	-3	0	sudoku
6	48	B	N	2	0	sudoku
7	1	Y	N	-7	0	table
7	2	B	S	-2	0	table
7	3	B	N	8	0	table
7	4	Y	S	-8	0	table
7	5	Y	N	-8	1	table
7	6	B	N	-15	1	table
7	7	G	S	0	0	table
7	8	G	S	0	1	table
7	9	R	N	0	1	table
7	10	G	N	0	0	table
7	11	R	S	0	1	table
7	12	R	N	0	1	table
7	13	B	S	-15	0	table
7	14	Y	N	-11	1	table
7	15	B	S	10	1	table
7	16	Y	S	8	1	table
7	17	B	S	-19	0	table
7	18	Y	S	-10	0	table
7	19	G	S	0	0	table
7	20	R	S	0	1	table
7	21	G	S	0	1	table
7	22	G	N	0	1	table
7	23	R	N	0	1	table
7	24	R	S	0	1	table
7	25	B	S	-15	0	table
7	26	B	N	0	0	table
7	27	Y	N	-10	1	table
7	28	B	S	-15	0	table
7	29	Y	N	-8	1	table
7	30	G	S	0	0	table
7	31	G	S	0	0	table
7	32	R	N	0	1	table
7	33	R	S	0	1	table
7	34	Y	N	0	1	table
7	35	G	S	0	1	table
7	36	R	N	0	1	table
7	37	B	N	-16	1	table
7	38	Y	N	-7	1	table
7	39	G	S	0	0	table
7	40	B	N	12	0	table
7	41	Y	N	-8	1	table
7	42	Y	N	0	0	table
7	43	R	N	0	1	table
7	44	R	S	0	1	table
7	45	G	S	0	0	table
7	46	G	S	0	0	table
7	47	B	N	-16	1	table
7	48	R	S	0	1	table
8	1	G	S	0	0	table
8	2	R	S	0	1	table
8	3	B	N	-15	1	table
8	4	B	S	12	1	table
8	5	Y	S	-10	0	table
8	6	G	N	0	0	table
8	7	Y	N	-10	1	table
8	8	R	N	0	1	table
8	9	G	N	4	0	table
8	10	B	N	13	0	table
8	11	Y	S	9	1	table
8	12	R	S	0	1	table
8	13	R	N	0	1	table
8	14	G	S	0	0	table
8	15	Y	N	-10	1	table
8	16	B	S	-15	0	table
8	17	G	S	0	0	table
8	18	G	S	0	1	table
8	19	R	N	0	1	table
8	20	B	N	-15	1	table
8	21	R	N	0	0	table
8	22	Y	S	8	1	table
8	23	Y	N	-10	1	table
8	24	B	S	12	1	table
8	25	R	S	0	1	table
8	26	R	N	0	1	table
8	27	B	N	-15	1	table
8	28	B	S	12	0	table
8	29	B	S	-15	0	table
8	30	Y	S	-10	0	table
8	31	G	S	0	0	table
8	32	G	N	0	1	table
8	33	Y	N	-10	1	table
8	34	G	S	0	1	table
8	35	R	N	0	1	table
8	36	Y	S	8	1	table
8	37	G	S	0	1	table
8	38	R	S	0	1	table
8	39	Y	S	-10	0	table
8	40	B	N	-15	1	table
8	41	B	S	12	1	table
8	42	R	N	8	0	table
8	43	G	S	0	1	table
8	44	Y	N	-10	1	table
8	45	R	N	0	0	table
8	46	B	N	12	0	table
8	47	G	N	0	0	table
8	48	R	S	0	1	table
9	1	G	S	0	1	sudoku
9	2	Y	S	-5	0	sudoku
9	3	R	S	0	1	sudoku
9	4	G	S	0	0	sudoku
9	5	Y	S	5	1	sudoku
9	6	Y	S	-5	0	sudoku
9	7	R	S	0	1	sudoku
9	8	Y	N	-7	1	sudoku
9	9	B	N	16	0	sudoku
9	10	Y	N	6	0	sudoku
9	11	B	N	-16	1	sudoku
9	12	B	N	16	0	sudoku
9	13	G	S	0	1	sudoku
9	14	G	N	0	1	sudoku
9	15	B	N	-2	1	sudoku
9	16	G	N	8	0	sudoku
9	17	B	N	15	0	sudoku
9	18	R	S	0	1	sudoku
9	19	B	S	15	1	sudoku
9	20	B	S	-16	0	sudoku
9	21	B	S	-16	0	sudoku
9	22	Y	S	8	1	sudoku
9	23	B	N	-16	1	sudoku
9	24	Y	S	8	1	sudoku
9	25	R	N	0	1	sudoku
9	26	R	S	0	0	sudoku
9	27	Y	S	-8	0	sudoku
9	28	B	N	-15	1	sudoku
9	29	G	S	0	0	sudoku
9	30	G	N	0	1	sudoku
9	31	B	N	-16	1	sudoku
9	32	G	N	0	0	sudoku
9	33	R	S	0	1	sudoku
9	34	R	N	0	1	sudoku
9	35	B	N	16	0	sudoku
9	36	Y	N	-8	1	sudoku
9	37	B	S	16	1	sudoku
9	38	R	N	0	1	sudoku
9	9	Y	S	-8	0	sudoku
9	40	Y	S	8	1	sudoku
9	41	G	S	0	0	sudoku
9	42	G	N	0	1	sudoku
9	43	Y	N	8	0	sudoku
9	44	B	S	16	1	sudoku
9	45	R	S	0	1	sudoku
9	46	B	N	-16	1	sudoku
9	47	G	S	0	0	sudoku
9	48	B	N	16	0	sudoku
10	]	R	N	0	1	sudoku
10	2	G	S	0	1	sudoku
10	3	B	S	-2	0	sudoku
10	4	R	N	0	1	sudoku
10	5	Y	N	0	0	sudoku
10	6	G	S	0	1	sudoku
10	7	Y	S	0	1	sudoku
10	8	B	N	-2	0	sudoku
10	9	B	N	0	0	sudoku
10	10	Y	S	-1	0	sudoku
10	11	G	N	0	1	sudoku
10	12	R	S	0	1	sudoku
10	13	Y	S	1	1	sudoku
10	14	R	S	0	1	sudoku
10	15	G	N	0	0	sudoku
10	16	Y	S	0	0	sudoku
10	17	G	S	-2	0	sudoku
10	18	G	S	2	1	sudoku
10	19	Y	N	-3	1	sudoku
10	20	B	S	-5	0	sudoku
10	21	B	N	-5	1	sudoku
10	22	B	S	5	0	sudoku
10	23	R	S	0	1	sudoku
10	24	R	N	0	1	sudoku
10	25	B	S	-5	0	sudoku
10	26	Y	N	0	0	sudoku
10	27	Y	S	-2	0	sudoku
10	28	R	N	0	1	sudoku
10	29	B	N	-4	1	sudoku
10	30	R	S	0	1	sudoku
10	31	G	N	-3	1	sudoku
10	32	G	S	3	1	sudoku
10	33	B	S	-5	0	sudoku
10	34	Y	N	1	0	sudoku
10	35	G	N	-2	1	sudoku
10	36	R	S	0	1	sudoku
10	37	B	N	-5	0	sudoku
10	38	Y	S	0	0	sudoku
10	39	R	N	0	1	sudoku
10	40	G	N	0	1	sudoku
10	41	R	S	0	1	sudoku
10	42	Y	S	0	0	sudoku
10	43	G	N	0	0	sudoku
10	44	Y	N	0	0	sudoku
10	45	B	N	0	0	sudoku
10	46	B	N	0	1	sudoku
10	47	R	S	0	1	sudoku
10	48	G	S	0	1	sudoku
11	1	R	S	0	1	sudoku
11	2	G	S	-6	0	sudoku
11	3	R	S	0	1	sudoku
11	4	Y	S	-9	0	sudoku
11	5	G	S	6	1	sudoku
11	6	R	N	0	1	sudoku
11	7	B	S	-10	0	sudoku
11	8	B	N	-10	1	sudoku
11	9	G	N	4	0	sudoku
11	10	Y	S	8	1	sudoku
11	11	Y	N	-8	0	sudoku
11	12	B	S	-10	0	sudoku
11	13	B	N	10	0	sudoku
11	14	G	S	-2	0	sudoku
11	15	Y	S	2	0	sudoku
11	16	G	N	-2	1	sudoku
11	17	B	N	10	0	sudoku
11	18	B	S	-10	0	sudoku
11	19	Y	N	-9	1	sudoku
11	20	G	S	-1	0	sudoku
11	21	R	N	0	1	sudoku
11	22	R	N	0	1	sudoku
11	23	B	N	-10	0	sudoku
11	24	B	N	0	0	sudoku
11	25	Y	N	-2	0	sudoku
11	26	Y	S	4	0	sudoku
11	27	R	S	0	1	sudoku
11	28	B	N	-10	0	sudoku
11	29	Y	N	-8	1	sudoku
11	30	G	S	-2	0	sudoku
11	31	G	S	4	1	sudoku
11	32	R	N	0	1	sudoku
11	33	R	N	0	1	sudoku
11	34	G	S	2	0	sudoku
11	35	G	S	-3	0	sudoku
11	36	B	S	-10	0	sudoku
11	37	G	N	-8	1	sudoku
11	38	B	N	10	0	sudoku
11	39	G	S	5	1	sudoku
11	40	B	S	11	0	sudoku
11	41	G	S	-5	0	sudoku
11	42	Y	N	4	0	sudoku
11	43	R	S	0	1	sudoku
11	44	R	S	0	1	sudoku
11	45	B	N	11	0	sudoku
11	46	R	N	0	1	sudoku
11	47	Y	N	-8	1	sudoku
11	48	Y	S	-8	0	sudoku
12	1	R	S	0	1	sudoku
12	2	G	S	-1	0	sudoku
12	3	B	N	-12	1	sudoku
12	4	R	S	0	1	sudoku
12	5	Y	S	2	0	sudoku
12	6	G	S	3	1	sudoku
12	7	Y	S	4	1	sudoku
12	8	B	N	-12	1	sudoku
12	9	B	N	12	0	sudoku
12	10	Y	N	4	0	sudoku
12	11	R	S	0	1	sudoku
12	12	G	N	2	0	sudoku
12	13	Y	N	-4	0	sudoku
12	14	R	N	0	1	sudoku
12	15	G	N	-2	1	sudoku
12	16	Y	S	-4	0	sudoku
12	17	G	N	-2	1	sudoku
12	18	G	N	2	0	sudoku
12	19	Y	S	2	0	sudoku
12	20	B	N	-10	0	sudoku
12	21	B	N	5	0	sudoku
12	22	B	S	0	0	sudoku
12	23	R	S	0	1	sudoku
12	24	R	S	0	1	sudoku
12	25	B	S	-12	0	sudoku
12	26	Y	S	8	1	sudoku
12	27	Y	S	8	1	sudoku
12	28	R	S	0	1	sudoku
12	29	B	N	-12	1	sudoku
12	30	R	N	0	1	sudoku
12	31	G	S	-3	0	sudoku
12	32	G	S	3	1	sudoku
12	33	B	S	-12	0	sudoku
12	34	Y	N	8	0	sudoku
12	35	G	N	2	0	sudoku
12	36	R	S	0	1	sudoku
12	37	R	S	0	1	sudoku
12	38	Y	S	-8	0	sudoku
12	39	B	N	-12	1	sudoku
12	40	G	N	3	0	sudoku
12	41	R	N	0	1	sudoku
12	42	Y	S	8	1	sudoku
12	43	G	N	-5	1	sudoku
12	44	Y	N	8	0	sudoku
12	45	Y	N	-12	0	sudoku
12	46	B	N	10	0	sudoku
12	47	R	S	0	1	sudoku
12	48	G	S	-4	0	sudoku
13	1	R	N	0	1	table
13	2	Y	N	10	0	table
13	3	R	N	0	1	table
13	4	Y	S	10	1	table
13	5	B	S	-13	0	table
13	6	G	N	2	0	table
13	7	G	N	-2	1	table
13	8	G	S	2	1	table
13	9	B	S	-13	0	table
13	10	R	S	0	1	table
13	11	R	S	0	1	table
13	12	B	S	13	1	table
13	13	Y	N	-10	1	table
13	14	B	S	-13	0	table
13	15	Y	S	10	1	table
13	16	R	S	0	1	table
13	17	Y	S	-9	0	table
13	18	G	N	-2	1	table
13	19	G	N	2	0	table
13	20	Y	N	-9	1	table
13	21	B	N	13	0	table
13	22	R	S	0	1	table
13	23	B	S	-13	0	table
13	24	G	N	2	0	table
13	25	B	N	-13	1	table
13	26	Y	S	10	1	table
13	27	B	S	-13	0	table
13	28	B	S	13	1	table
13	29	B	S	-13	0	table
13	30	B	N	10	0	table
13	31	B	N	-12	1	table
13	32	R	S	0	1	table
13	33	Y	N	10	0	table
13	34	G	S	2	1	table
13	35	R	N	0	1	table
13	36	R	S	0	1	table
13	37	R	S	0	1	table
13	38	B	S	-13	0	table
13	39	Y	N	10	0	table
13	40	B	S	-13	0	table
13	41	Y	N	-6	0	table
13	42	R	N	0	1	table
13	43	Y	N	-10	1	table
13	44	Y	S	-10	0	table
13	45	G	N	2	0	table
13	46	R	N	0	1	table
13	47	Y	N	-10	1	table
13	48	G	S	-3	0	table
14	1	B	N	0	0	table
14	2	B	S	-1	0	table
14	3	Y	S	1	0	table
14	4	B	S	-1	0	table
14	5	Y	S	1	0	table
14	6	G	S	0	1	table
14	7	G	N	0	0	table
14	8	R	N	0	1	table
14	9	R	N	0	1	table
14	10	Y	S	-2	0	table
14	11	G	S	2	1	table
14	12	R	S	0	1	table
14	13	B	S	-2	0	table
14	14	Y	S	2	1	table
14	15	G	N	-2	1	table
14	16	B	N	2	0	table
14	17	Y	N	-2	1	table
14	18	Y	S	2	0	table
14	19	R	N	0	1	table
14	20	R	N	0	1	table
14	21	G	N	0	1	table
14	22	G	N	0	0	table
14	23	B	S	-2	0	table
14	24	R	S	0	1	table
14	25	Y	N	-1	0	table
14	26	B	N	-2	0	table
14	27	B	N	2	0	table
14	28	Y	S	-3	0	table
14	29	Y	S	3	1	table
14	30	B	N	2	0	table
14	31	G	S	2	1	table
14	32	G	S	1	1	table
14	33	R	N	0	1	table
14	34	G	S	-2	0	table
14	35	R	S	0	1	table
14	36	R	S	0	1	table
14	37	B	N	-2	0	table
14	38	Y	N	2	0	table
14	39	B	N	1	0	table
14	40	Y	S	3	1	table
14	41	B	S	-2	0	table
14	42	Y	N	-2	0	table
14	43	G	S	1	1	table
14	44	R	N	0	1	table
14	45	G	S	1	0	table
14	46	G	S	-2	0	table
14	47	R	N	0	1	table
14	48	R	N	0	1	table
15	1	G	N	-2	1	table
15	2	B	S	15	1	table
15	3	R	N	0	1	table
15	4	B	N	15	0	table
15	5	Y	S	-8	0	table
15	6	Y	S	8	1	table
15	7	R	N	0	1	table
15	8	G	N	-7	1	table
15	9	B	S	-15	0	table
15	10	G	N	6	0	table
15	11	Y	S	10	1	table
15	12	B	N	16	0	table
15	13	B	S	16	1	table
15	14	R	N	0	1	table
15	15	R	N	0	1	table
15	16	Y	N	-8	1	table
15	17	G	S	5	1	table
15	18	Y	N	8	0	table
15	19	G	N	-4	1	table
15	20	Y	S	8	1	table
15	21	Y	S	-8	0	table
15	22	B	S	-1	0	table
15	23	B	S	14	1	table
15	24	R	N	0	1	table
15	25	G	S	-4	0	table
15	26	B	S	15	1	table
15	27	R	S	0	1	table
15	28	R	N	0	0	table
15	29	B	N	-14	1	table
15	30	Y	S	9	1	table
15	31	B	N	15	0	table
15	32	R	N	0	1	table
15	33	G	N	-4	1	table
15	34	B	N	15	0	table
15	35	Y	S	-10	0	table
15	36	B	N	-15	1	table
15	37	R	S	0	1	table
15	38	B	S	14	1	table
15	39	R	S	0	1	table
15	40	G	N	-4	0	table
15	41	Y	N	8	0	table
15	42	B	S	-15	0	table
15	43	Y	S	8	1	table
15	44	R	S	0	1	table
15	45	G	N	-5	1	table
15	46	Y	S	10	0	table
15	47	B	S	-15	0	table
15	48	R	S	0	1	table
16	1	Y	S	0	0	table
16	2	G	N	-1	1	table
16	3	Y	N	2	0	table
16	4	G	N	0	0	table
16	5	B	S	-2	0	table
16	6	Y	S	1	0	table
16	7	G	S	2	1	table
16	8	B	N	-2	0	table
16	9	Y	S	2	0	table
16	10	R	S	0	1	table
16	11	Y	N	2	0	table
16	12	R	N	0	1	table
16	13	R	N	0	1	table
16	14	B	N	-2	0	table
16	15	R	S	0	1	table
16	16	Y	N	-3	0	table
16	17	Y	S	3	0	table
16	18	G	S	2	1	table
16	19	Y	N	-3	0	table
16	20	R	N	0	1	table
16	21	Y	N	-2	0	table
16	22	R	S	0	1	table
16	23	B	N	-3	0	table
16	24	B	S	3	0	table
16	25	R	S	0	1	table
16	26	R	N	0	1	table
16	27	Y	S	-3	0	table
16	28	R	N	0	1	table
16	29	Y	N	3	0	table
16	30	G	S	3	1	table
16	31	G	S	2	1	table
16	32	B	N	-3	0	table
16	33	B	S	2	0	table
16	34	G	S	3	1	table
16	35	Y	N	3	0	table
16	36	B	S	-3	0	table
16	37	B	S	-2	0	table
16	38	R	S	1	1	table
16	39	G	N	-2	1	table
16	40	Y	N	-1	0	table
16	41	R	N	0	1	table
16	42	B	N	-3	0	table
16	43	G	S	3	1	table
16	44	B	S	-3	0	table
16	45	R	S	0	1	table
16	46	Y	S	3	0	table
16	47	G	S	3	1	table
16	48	Y	N	-2	0	table
17	1	R	N	-2	1	tableFail
17	2	R	N	-2	1	tableFail
17	3	Y	N	-2	1	tableFail
17	4	B	S	-2	0	tableFail
17	5	Y	N	-2	1	tableFail
17	6	R	S	-2	1	tableFail
17	7	Y	S	-2	1	tableFail
17	8	G	S	-2	1	tableFail
17	9	B	N	-2	0	tableFail
17	10	B	S	-2	0	tableFail
17	11	G	S	-2	0	tableFail
17	12	G	S	-2	1	tableFail
17	13	Y	N	-2	1	tableFail
17	14	B	N	2	0	tableFail
17	15	G	S	2	1	tableFail
17	16	R	S	-2	1	tableFail
17	17	Y	S	-2	1	tableFail
17	18	R	N	-2	1	tableFail
17	19	G	S	-2	0	tableFail
17	20	Y	S	-2	1	tableFail
17	21	B	S	2	0	tableFail
17	22	Y	S	2	0	tableFail
17	23	B	S	-2	0	tableFail
17	24	Y	N	-2	0	tableFail
17	25	R	N	-2	1	tableFail
17	26	Y	N	-2	1	tableFail
17	27	G	N	-2	0	tableFail
17	28	Y	S	-2	1	tableFail
17	29	B	N	-2	1	tableFail
17	30	B	S	-2	1	tableFail
17	31	R	S	2	1	tableFail
17	32	Y	N	2	1	tableFail
17	33	G	N	2	0	tableFail
17	34	Y	S	-2	1	tableFail
17	35	R	N	-2	1	tableFail
17	36	B	S	-2	0	tableFail
17	37	Y	N	-2	1	tableFail
17	38	G	N	2	0	tableFail
17	39	G	S	2	0	tableFail
17	40	Y	N	-2	1	tableFail
17	41	Y	S	-2	1	tableFail
17	42	R	S	-2	1	tableFail
17	43	G	S	-2	1	tableFail
17	44	B	N	-2	0	tableFail
17	45	B	N	-2	0	tableFail
17	46	Y	S	-2	1	tableFail
17	47	R	N	-2	1	tableFail
17	48	R	N	-2	1	tableFail
18	1	R	N	0	1	table
18	2	R	S	0	1	table
18	3	G	N	0	1	table
18	4	R	S	0	1	table
18	5	Y	S	-4	0	table
18	6	Y	S	4	1	table
18	7	G	S	0	0	table
18	8	Y	S	-8	0	table
18	9	B	S	15	1	table
18	10	B	S	-15	0	table
18	11	G	S	0	1	table
18	12	B	N	-15	1	table
18	13	B	N	15	0	table
18	14	Y	S	-8	0	table
18	15	B	N	14	0	table
18	16	G	N	0	1	table
18	17	G	N	0	1	table
18	18	Y	N	-5	1	table
18	19	Y	S	6	1	table
18	20	B	N	-16	1	table
18	21	R	S	0	1	table
18	22	G	S	0	0	table
18	23	R	N	0	1	table
18	24	R	N	0	1	table
18	25	G	N	0	1	table
18	26	R	S	0	1	table
18	27	G	N	0	0	table
18	28	G	S	0	1	table
18	29	B	N	16	0	table
18	30	R	S	0	1	table
18	31	R	N	0	1	table
18	32	B	N	15	0	table
18	33	Y	S	-3	0	table
18	34	Y	N	4	0	table
18	35	B	N	-16	1	table
18	36	Y	S	-5	0	table
