1,246,NaN
1,246,0
1,246,1
1,246,NaN
1,246,0
1,246,0
1,246,NaN
1,246,1
1,246,NaN
1,246,0
1,246,1
1,246,0
1,100,1
1,100,1
1,100,1
1,100,1
1,100,NaN
1,100,1
1,100,1
1,100,1
1,100,1
1,100,1
1,100,1
1,100,1
1,304,0
1,304,1
1,304,1
1,304,1
1,304,1
1,304,0
1,304,0
1,304,1
1,304,NaN
1,304,0
1,304,1
1,304,1
1,362,NaN
1,362,NaN
1,362,1
1,362,0
1,362,0
1,362,0
1,362,NaN
1,362,NaN
1,362,0
1,362,0
1,362,1
1,362,0
1,188,1
1,188,1
1,188,0
1,188,1
1,188,0
1,188,NaN
1,188,NaN
1,188,1
1,188,1
1,188,1
1,188,1
1,188,1
1,140,1
1,140,1
1,140,1
1,140,1
1,140,1
1,140,1
1,140,NaN
1,140,1
1,140,1
1,140,1
1,140,NaN
1,140,1
1,410,1
1,410,0
1,410,0
1,410,0
1,410,1
1,410,0
1,410,1
1,410,1
1,410,0
1,410,1
1,410,0
1,410,1
1,450,1
1,450,1
1,450,1
1,450,NaN
1,450,0
1,450,0
1,450,0
1,450,0
1,450,1
1,450,NaN
1,450,NaN
1,450,1
2,188,NaN
2,188,NaN
2,188,1
2,188,1
2,188,1
2,188,1
2,188,1
2,188,1
2,188,1
2,188,1
2,188,1
2,188,1
2,140,1
2,140,1
2,140,NaN
2,140,1
2,140,1
2,140,1
2,140,1
2,140,1
2,140,1
2,140,1
2,140,1
2,140,1
2,362,1
2,362,0
2,362,1
2,362,NaN
2,362,0
2,362,NaN
2,362,0
2,362,1
2,362,0
2,362,0
2,362,1
2,362,1
2,450,0
2,450,0
2,450,1
2,450,0
2,450,1
2,450,0
2,450,1
2,450,0
2,450,1
2,450,1
2,450,1
2,450,0
2,410,NaN
2,410,NaN
2,410,1
2,410,1
2,410,0
2,410,NaN
2,410,0
2,410,0
2,410,0
2,410,0
2,410,0
2,410,1
2,100,0
2,100,1
2,100,1
2,100,NaN
2,100,1
2,100,NaN
2,100,1
2,100,1
2,100,1
2,100,1
2,100,1
2,100,1
2,304,1
2,304,0
2,304,0
2,304,NaN
2,304,NaN
2,304,NaN
2,304,1
2,304,1
2,304,0
2,304,0
2,304,1
2,304,0
2,246,NaN
2,246,1
2,246,1
2,246,1
2,246,1
2,246,1
2,246,NaN
2,246,1
2,246,1
2,246,1
2,246,1
2,246,1
3,362,NaN
3,362,0
3,362,1
3,362,0
3,362,1
3,362,0
3,362,0
3,362,0
3,362,1
3,362,0
3,362,1
3,362,1
3,410,1
3,410,1
3,410,1
3,410,0
3,410,1
3,410,0
3,410,1
3,410,0
3,410,0
3,410,0
3,410,1
3,410,NaN
3,450,0
3,450,0
3,450,1
3,450,1
3,450,0
3,450,1
3,450,0
3,450,NaN
3,450,1
3,450,NaN
3,450,1
3,450,0
3,140,1
3,140,1
3,140,1
3,140,1
3,140,1
3,140,1
3,140,1
3,140,0
3,140,1
3,140,1
3,140,1
3,140,1
3,100,1
3,100,1
3,100,1
3,100,NaN
3,100,1
3,100,1
3,100,1
3,100,1
3,100,0
3,100,1
3,100,1
3,100,1
3,304,0
3,304,1
3,304,1
3,304,NaN
3,304,1
3,304,1
3,304,1
3,304,1
3,304,1
3,304,1
3,304,0
3,304,NaN
3,188,1
3,188,1
3,188,1
3,188,1
3,188,1
3,188,1
3,188,1
3,188,1
3,188,1
3,188,1
3,188,1
3,188,1
3,246,0
3,246,1
3,246,1
3,246,1
3,246,NaN
3,246,1
3,246,1
3,246,1
3,246,1
3,246,1
3,246,1
3,246,1
4,410,NaN
4,410,NaN
4,410,1
4,410,0
4,410,1
4,410,0
4,410,1
4,410,0
4,410,1
4,410,NaN
4,410,NaN
4,410,1
4,188,1
4,188,1
4,188,NaN
4,188,1
4,188,1
4,188,1
4,188,1
4,188,1
4,188,1
4,188,1
4,188,1
4,188,1
4,140,1
4,140,1
4,140,1
4,140,NaN
4,140,1
4,140,1
4,140,1
4,140,1
4,140,1
4,140,1
4,140,1
4,140,1
4,246,0
4,246,1
4,246,1
4,246,NaN
4,246,1
4,246,1
4,246,1
4,246,1
4,246,1
4,246,1
4,246,1
4,246,1
4,450,0
4,450,0
4,450,NaN
4,450,1
4,450,0
4,450,0
4,450,NaN
4,450,0
4,450,1
4,450,0
4,450,0
4,450,NaN
4,304,1
4,304,1
4,304,1
4,304,1
4,304,0
4,304,NaN
4,304,0
4,304,NaN
4,304,0
4,304,0
4,304,0
4,304,0
4,100,1
4,100,1
4,100,1
4,100,1
4,100,0
4,100,1
4,100,1
4,100,1
4,100,1
4,100,1
4,100,1
4,100,1
4,362,1
4,362,1
4,362,0
4,362,NaN
4,362,1
4,362,1
4,362,0
4,362,0
4,362,0
4,362,1
4,362,1
4,362,1
