"participant"	"half"	"as_numbers"	"as_factors"	"offset_from_sp"	"condition"	"Accuracy"	"acc_type"
"70"	4	"second"	2	"2"	2.15847128479618	"Instructions"	0.618848883048278	"Expected"
"71"	4	"second"	3	"3"	3.2524185571131	"Instructions"	0.566864303395521	"Expected"
"72"	4	"second"	4	"640"	12.3870075474443	"Instructions"	0.500002418814038	"Expected"
"73"	5	"first"	-3	"-3"	-3.2524185571131	"No_instructions"	0.758149490148638	"Expected"
"74"	5	"first"	-2	"-2"	-2.15847128479618	"No_instructions"	0.75	"Expected"
"75"	5	"first"	-1	"-1"	-1.06413040966505	"No_instructions"	0.75	"Expected"
"76"	5	"first"	0	"0"	0	"No_instructions"	0.75	"Expected"
"77"	5	"first"	0.5	"284"	0.942521344413154	"No_instructions"	0.748464227337909	"Expected"
"78"	5	"first"	1	"1"	1.09453231215461	"No_instructions"	0.745544057828637	"Expected"
"79"	5	"first"	2	"2"	2.15847128479618	"No_instructions"	0.74199434075197	"Expected"
"80"	5	"first"	3	"3"	3.2524185571131	"No_instructions"	0.744208123171596	"Expected"
"81"	5	"first"	4	"640"	11.7254852148345	"No_instructions"	0.740740777866463	"Expected"
"82"	5	"second"	-3	"-3"	-3.2524185571131	"No_instructions"	0.75	"Expected"
"83"	5	"second"	-2	"-2"	-2.15847128479618	"No_instructions"	0.75	"Expected"
"84"	5	"second"	-1	"-1"	-1.06413040966505	"No_instructions"	0.75	"Expected"
"85"	5	"second"	0	"0"	0	"No_instructions"	0.75	"Expected"
"86"	5	"second"	0.5	"284"	0.942521344413154	"No_instructions"	0.75	"Expected"
"87"	5	"second"	1	"1"	1.09453231215461	"No_instructions"	0.75	"Expected"
"88"	5	"second"	2	"2"	2.15847128479618	"No_instructions"	0.75	"Expected"
"89"	5	"second"	3	"3"	3.2524185571131	"No_instructions"	0.75	"Expected"
"90"	5	"second"	4	"640"	11.7254852148345	"No_instructions"	0.75	"Expected"
"91"	6	"first"	-3	"-3"	-3.22203821588321	"Instructions"	0.977957999775078	"Expected"
"92"	6	"first"	-2	"-2"	-2.15847128479618	"Instructions"	0.944634903861957	"Expected"
"93"	6	"first"	-1	"-1"	-1.06413040966505	"Instructions"	0.883098701521908	"Expected"
"94"	6	"first"	0	"0"	0	"Instructions"	0.798171661527153	"Expected"
"95"	6	"first"	0.5	"284"	0.760103851360247	"Instructions"	0.75	"Expected"
"96"	6	"first"	1	"1"	1.09453231215461	"Instructions"	0.75	"Expected"
"97"	6	"first"	2	"2"	2.15847128479618	"Instructions"	0.75	"Expected"
"98"	6	"first"	3	"3"	3.2524185571131	"Instructions"	0.75	"Expected"
"99"	6	"first"	4	"640"	11.5449319601529	"Instructions"	0.75	"Expected"
"100"	6	"second"	-3	"-3"	-3.22203821588321	"Instructions"	0.961072222013961	"Expected"
"101"	6	"second"	-2	"-2"	-2.15847128479618	"Instructions"	0.926940821692688	"Expected"
"102"	6	"second"	-1	"-1"	-1.06413040966505	"Instructions"	0.862932231594346	"Expected"
"103"	6	"second"	0	"0"	0	"Instructions"	0.79645124504404	"Expected"
"104"	6	"second"	0.5	"284"	0.760103851360247	"Instructions"	0.733282581255809	"Expected"
"105"	6	"second"	1	"1"	1.09453231215461	"Instructions"	0.718451718886253	"Expected"
"106"	6	"second"	2	"2"	2.15847128479618	"Instructions"	0.643410937525332	"Expected"
"107"	6	"second"	3	"3"	3.2524185571131	"Instructions"	0.59966739184394	"Expected"
"108"	6	"second"	4	"640"	11.5449319601529	"Instructions"	0.509259391437001	"Expected"
"109"	7	"first"	-3	"-3"	-3.2524185571131	"No_instructions"	0.801724137931034	"Expected"
"110"	7	"first"	-2	"-2"	-2.15847128479618	"No_instructions"	0.79999999999463	"Expected"
"111"	7	"first"	-1	"-1"	-1.09453231215461	"No_instructions"	0.77342550552051	"Expected"
"112"	7	"first"	0	"0"	0	"No_instructions"	0.760914230278481	"Expected"
