"participant"	"half"	"as_numbers"	"as_factors"	"offset_from_sp"	"condition"	"mean_fix_pos"	"box"	"fix_type"
"64"	"13"	"second"	-3	"-3"	-3.2524185571131	"Instructions"	1	"Centre"	"Optimal"
"65"	"13"	"second"	-2	"-2"	-2.15847128479618	"Instructions"	1	"Centre"	"Optimal"
"66"	"13"	"second"	-1	"-1"	-1.09453231215461	"Instructions"	1	"Centre"	"Optimal"
"67"	"13"	"second"	0	"0"	0	"Instructions"	1	"Centre"	"Optimal"
"68"	"13"	"second"	1	"1"	1.09453231215461	"Instructions"	0	"Centre"	"Optimal"
"69"	"13"	"second"	1.5	"284"	1.61133758830531	"Instructions"	0	"Centre"	"Optimal"
"70"	"13"	"second"	2	"2"	2.15847128479618	"Instructions"	0	"Centre"	"Optimal"
"71"	"13"	"second"	3	"3"	3.2524185571131	"Instructions"	0	"Centre"	"Optimal"
"72"	"13"	"second"	4	"640"	12.3870075474443	"Instructions"	0	"Centre"	"Optimal"
"73"	"14"	"first"	-3	"-3"	-3.2524185571131	"No_instructions"	1	"Centre"	"Optimal"
"74"	"14"	"first"	-2	"-2"	-2.15847128479618	"No_instructions"	1	"Centre"	"Optimal"
"75"	"14"	"first"	-1	"-1"	-1.06413040966505	"No_instructions"	1	"Centre"	"Optimal"
"76"	"14"	"first"	0	"0"	0	"No_instructions"	1	"Centre"	"Optimal"
"77"	"14"	"first"	0.5	"284"	0.942521344413154	"No_instructions"	0	"Centre"	"Optimal"
"78"	"14"	"first"	1	"1"	1.09453231215461	"No_instructions"	0	"Centre"	"Optimal"
"79"	"14"	"first"	2	"2"	2.15847128479618	"No_instructions"	0	"Centre"	"Optimal"
"80"	"14"	"first"	3	"3"	3.2524185571131	"No_instructions"	0	"Centre"	"Optimal"
"81"	"14"	"first"	4	"640"	11.7254852148345	"No_instructions"	0	"Centre"	"Optimal"
"82"	"14"	"second"	-3	"-3"	-3.2524185571131	"No_instructions"	1	"Centre"	"Optimal"
