3,640,3,0
3,234,1,1
3,128,1,1
3,341,3,0
3,640,3,1
3,305,2,1
3,284,2,NaN
3,305,3,0
3,199,1,1
3,128,1,1
3,305,2,0
3,128,1,1
3,234,1,0
3,270,3,1
3,199,1,1
3,305,2,1
3,234,1,1
3,199,1,1
3,234,1,1
3,163,1,0
3,163,1,1
3,234,1,0
3,305,3,1
3,163,1,1
3,163,1,1
3,640,2,1
3,199,1,1
3,270,3,0
3,270,2,1
3,341,2,1
3,163,1,1
3,163,1,1
3,234,1,1
3,163,1,1
3,640,2,1
3,284,3,1
3,341,2,1
3,270,3,0
3,234,1,1
3,341,3,1
3,234,1,0
3,128,1,1
3,199,1,1
3,305,3,1
3,305,3,1
3,284,2,1
3,163,1,NaN
3,199,1,0
3,305,3,1
3,640,3,1
3,270,2,0
3,234,1,1
3,284,3,NaN
3,341,3,0
3,640,2,1
3,284,2,NaN
3,640,2,0
3,128,1,1
3,128,1,1
3,163,1,1
3,640,2,0
3,128,1,1
3,284,2,0
3,305,2,NaN
3,199,1,1
3,128,1,1
3,128,1,1
3,199,1,1
3,270,3,0
3,284,3,1
3,305,2,0
3,199,1,1
3,341,2,1
3,284,3,1
3,234,1,1
3,341,2,0
3,199,1,1
3,640,2,1
3,341,3,1
3,284,3,0
3,128,1,1
3,284,2,1
3,640,2,0
3,341,3,1
3,163,1,1
3,341,3,0
3,270,2,NaN
3,270,3,1
3,270,3,0
3,270,2,1
