1,352,1,1
1,246,1,1
1,423,2,1
1,640,3,1
1,281,1,1
1,246,1,1
1,423,2,1
1,317,1,1
1,352,1,0
1,281,1,1
1,640,2,1
1,284,1,0
1,246,1,1
1,284,1,1
1,284,1,1
1,246,1,1
1,281,1,1
1,281,1,0
1,317,1,1
1,388,3,1
1,284,1,1
1,423,3,1
1,423,2,1
1,317,1,1
1,459,3,0
1,317,1,0
1,284,1,1
1,459,3,1
1,246,1,1
1,423,3,1
1,459,2,1
1,352,1,0
1,281,1,1
1,352,1,1
1,284,1,1
1,281,1,1
1,317,1,0
1,459,3,1
1,284,1,1
1,640,3,NaN
1,281,1,NaN
1,317,1,1
1,640,2,0
1,352,1,0
1,352,1,1
1,640,2,1
1,459,3,1
1,388,3,1
1,317,1,1
1,388,2,1
1,640,3,1
1,352,1,0
1,640,3,1
1,423,2,1
1,388,2,NaN
1,640,3,1
1,388,3,1
1,388,2,1
1,388,2,1
1,423,3,1
1,317,1,1
1,388,2,1
1,246,1,0
1,246,1,NaN
1,459,3,1
1,317,1,1
1,284,1,1
1,423,2,0
1,281,1,1
1,388,3,1
1,423,2,1
1,284,1,1
1,352,1,1
1,459,3,0
1,640,2,0
1,423,3,1
1,352,1,1
1,459,3,1
1,459,2,1
1,281,1,0
1,640,3,1
1,246,1,1
1,246,1,1
1,459,3,1
1,388,2,1
1,246,1,1
1,317,1,1
1,281,1,1
1,352,1,1
1,284,1,1
