"participant"	"Vis_Degs"	"half"	"condition"	"mean_acc"	"acc_type"
1	5.92361499528803	"first"	"No_instructions"	0.857142857142857	"Actual"
1	5.92361499528803	"second"	"No_instructions"	0.971428571428571	"Actual"
1	6.98439623888503	"first"	"No_instructions"	0.787878787878788	"Actual"
1	6.98439623888503	"second"	"No_instructions"	0.918918918918919	"Actual"
1	8.07423481543505	"first"	"No_instructions"	0.875	"Actual"
1	8.07423481543505	"second"	"No_instructions"	0.945945945945946	"Actual"
1	8.61861830002437	"first"	"No_instructions"	0.75	"Actual"
1	8.61861830002437	"second"	"No_instructions"	0.935483870967742	"Actual"
1	9.13240104890675	"first"	"No_instructions"	0.8	"Actual"
1	9.13240104890675	"second"	"No_instructions"	0.916666666666667	"Actual"
1	10.2191730017744	"first"	"No_instructions"	0.657142857142857	"Actual"
1	10.2191730017744	"second"	"No_instructions"	0.566666666666667	"Actual"
1	11.2739944705171	"first"	"No_instructions"	0.727272727272727	"Actual"
1	11.2739944705171	"second"	"No_instructions"	0.612903225806452	"Actual"
1	12.3569559880831	"first"	"No_instructions"	0.371428571428571	"Actual"
1	12.3569559880831	"second"	"No_instructions"	0.676470588235294	"Actual"
1	19.2750762258619	"first"	"No_instructions"	0.527777777777778	"Actual"
1	19.2750762258619	"second"	"No_instructions"	0.625	"Actual"
2	2.06728849639045	"first"	"Instructions"	0.941176470588235	"Actual"
2	2.06728849639045	"second"	"Instructions"	0.966666666666667	"Actual"
2	3.13089449084029	"first"	"Instructions"	1	"Actual"
2	3.13089449084029	"second"	"Instructions"	0.971428571428571	"Actual"
2	4.2243247815248	"first"	"Instructions"	0.882352941176471	"Actual"
2	4.2243247815248	"second"	"Instructions"	0.948717948717949	"Actual"
2	5.28664648307508	"first"	"Instructions"	0.882352941176471	"Actual"
2	5.28664648307508	"second"	"Instructions"	0.805555555555556	"Actual"
2	6.37837059290144	"first"	"Instructions"	0.771428571428571	"Actual"
2	6.37837059290144	"second"	"Instructions"	0.894736842105263	"Actual"
2	7.46893689837142	"first"	"Instructions"	0.805555555555556	"Actual"
2	7.46893689837142	"second"	"Instructions"	0.82051282051282	"Actual"
2	8.52791411433207	"first"	"Instructions"	0.783783783783784	"Actual"
