4,640,2,1
4,189,3,0
4,295,2,1
4,295,2,0
4,82,2,1
4,295,2,0
4,118,2,1
4,189,2,1
4,118,2,1
4,82,2,1
4,284,2,1
4,118,2,1
4,189,2,1
4,284,2,1
4,82,2,1
4,295,3,1
4,82,2,1
4,82,2,1
4,224,2,1
4,640,2,NaN
4,153,2,1
4,640,2,NaN
4,82,2,1
4,82,2,1
4,118,2,0
4,153,2,1
4,189,2,1
4,189,2,1
4,284,2,0
4,284,2,1
4,153,2,0
4,295,2,1
4,224,2,1
4,260,2,1
4,260,2,1
4,295,3,1
4,82,2,1
4,118,2,1
4,118,2,1
4,224,2,1
4,224,2,NaN
4,284,2,1
4,153,2,0
4,284,2,1
4,189,2,1
4,295,2,1
4,82,2,1
4,118,3,0
4,153,2,1
4,118,2,1
4,640,2,1
4,224,2,NaN
4,260,2,1
4,189,3,1
4,284,2,1
4,153,3,1
4,640,2,0
4,295,2,0
4,224,2,1
4,260,2,1
4,118,2,1
4,640,1,NaN
4,640,3,1
4,82,2,1
4,260,2,1
4,118,2,1
4,189,2,1
4,260,2,1
4,260,3,0
4,153,2,0
4,640,2,NaN
4,284,2,NaN
4,153,2,1
4,224,2,1
4,640,3,NaN
4,153,2,1
4,260,2,NaN
4,189,2,1
4,224,3,1
4,284,2,0
4,260,1,NaN
4,189,2,1
4,260,2,1
4,295,3,0
4,640,2,1
4,153,2,1
4,284,2,0
4,295,2,1
4,224,2,1
4,224,2,0
