person	Trial	Color	Direction	Subject Position (0-40)	Accuracy (0 OR 1)	condition
1	1	R	S	0	1	sudoku
1	2	Y	N	0	0	sudoku
1	3	B	N	9	0	sudoku
1	4	B	S	9	1	sudoku
1	5	R	S	0	1	sudoku
1	6	Y	S	0	0	sudoku
1	7	R	N	0	1	sudoku
1	8	G	N	0	1	sudoku
1	9	R	N	0	0	sudoku
1	10	G	S	0	0	sudoku
1	11	B	S	0	1	sudoku
1	12	G	S	0	1	sudoku
1	13	B	N	-9	1	sudoku
1	14	Y	N	9	0	sudoku
1	15	Y	N	9	0	sudoku
1	16	B	S	9	1	sudoku
1	17	G	S	0	1	sudoku
1	18	B	S	-13	0	sudoku
1	19	R	N	0	1	sudoku
1	20	B	N	-13	1	sudoku
1	21	G	N	0	1	sudoku
1	22	G	S	0	1	sudoku
1	23	Y	S	9	1	sudoku
1	24	R	S	0	1	sudoku
1	25	Y	N	-9	1	sudoku
1	26	R	N	0	1	sudoku
1	27	G	N	0	1	sudoku
1	28	R	S	0	1	sudoku
1	29	Y	S	9	1	sudoku
1	30	B	S	-13	0	sudoku
1	31	Y	N	-9	1	sudoku
1	32	Y	N	9	0	sudoku
1	33	G	N	0	1	sudoku
1	34	B	S	9	0	sudoku
1	35	B	S	-9	0	sudoku
1	36	R	S	0	1	sudoku
1	37	G	N	0	0	sudoku
1	38	B	N	-9	0	sudoku
1	39	R	N	0	1	sudoku
1	40	G	S	0	1	sudoku
1	41	Y	S	-5	0	sudoku
1	42	G	S	0	1	sudoku
1	43	B	N	-13	1	sudoku
1	44	R	N	0	1	sudoku
1	45	R	N	0	1	sudoku
1	46	Y	S	-9	1	sudoku
1	47	R	S	0	1	sudoku
1	48	G	S	0	0	sudoku
2	1	G	S	0	0	sudoku
2	2	G	S	0	1	sudoku
2	3	Y	N	0	0	sudoku
2	4	R	N	0	1	sudoku
2	5	G	S	0	1	sudoku
2	6	B	S	0	0	sudoku
2	7	G	S	0	1	sudoku
2	8	Y	N	0	0	sudoku
2	9	Y	N	0	0	sudoku
2	10	R	S	0	1	sudoku
2	11	B	N	-9	0	sudoku
2	12	R	S	0	1	sudoku
2	13	G	N	0	1	sudoku
2	14	Y	N	0	0	sudoku
2	15	G	S	0	0	sudoku
2	16	B	S	9	0	sudoku
2	17	Y	S	0	0	sudoku
2	18	R	N	0	1	sudoku
2	19	G	N	0	1	sudoku
2	20	G	N	0	1	sudoku
2	21	Y	N	0	0	sudoku
2	22	R	S	0	1	sudoku
2	23	B	N	-17	1	sudoku
2	24	B	N	17	0	sudoku
2	25	Y	N	0	0	sudoku
