"participant"	"Vis_Degs"	"mean_acc"	"acc_type"
"0"	4.34577318792512	1	"Actual"
"0"	5.40800023389665	0.88	"Actual"
"0"	6.49960538710888	0.727272727272727	"Actual"
"0"	7.55975902799951	0.617647058823529	"Actual"
"0"	8.61861830002437	0.586206896551724	"Actual"
"0"	8.64885062989313	0.5	"Actual"
"0"	9.70619277398474	0.657142857142857	"Actual"
"0"	10.7920173220633	0.771428571428571	"Actual"
"0"	19.2750762258619	0.783783783783784	"Actual"
"2"	6.65112836778944	0.921052631578947	"Actual"
"2"	7.74137464334269	0.72972972972973	"Actual"
"2"	8.61861830002437	0.794871794871795	"Actual"
"2"	8.83021913329035	0.868421052631579	"Actual"
"2"	9.88729021711115	0.769230769230769	"Actual"
"2"	10.9728045597641	0.714285714285714	"Actual"
"2"	12.0262770905113	0.625	"Actual"
"2"	13.1077227022524	0.538461538461538	"Actual"
"2"	19.2750762258619	0.756756756756757	"Actual"
"3"	7.19641457339948	0.882352941176471	"Actual"
"3"	8.28598424323118	0.702702702702703	"Actual"
"3"	8.61861830002437	0.75	"Actual"
"3"	9.3438529340385	0.783783783783784	"Actual"
"3"	10.430282027488	0.6	"Actual"
"3"	11.5148341338059	0.717948717948718	"Actual"
"3"	12.5672808458201	0.763157894736842	"Actual"
"3"	13.6475795311731	0.685714285714286	"Actual"
"3"	19.2750762258619	0.815789473684211	"Actual"
"4"	6.0145815155761	1	"Actual"
"4"	7.07526718706908	0.921052631578947	"Actual"
"4"	8.16499141813205	0.736842105263158	"Actual"
"4"	8.61861830002437	0.743589743589744	"Actual"
"4"	9.22303100149246	0.777777777777778	"Actual"
"4"	10.3096568994118	0.675	"Actual"
"4"	11.3643211697366	0.725	"Actual"
"4"	12.4471055309926	0.769230769230769	"Actual"
"4"	19.2750762258619	0.8	"Actual"
"5"	2.58395295620234	1	"Actual"
"5"	3.67769337721535	1	"Actual"
"5"	4.74041165096911	0.9	"Actual"
"5"	5.83264100195846	0.842105263157895	"Actual"
"5"	6.92381071313246	0.710526315789474	"Actual"
"5"	7.98346806543584	0.666666666666667	"Actual"
"5"	8.61861830002437	0.794117647058823	"Actual"
"5"	9.07197471219643	0.722222222222222	"Actual"
"5"	19.2750762258619	0.868421052631579	"Actual"
"0"	4.34577318792512	0.987449610302339	"Optimal"
"0"	5.40800023389665	0.953189195735923	"Optimal"
"0"	6.49960538710888	0.872853942271846	"Optimal"
"0"	7.55975902799951	0.754304176301427	"Optimal"
"0"	8.61861830002437	0.75	"Optimal"
"0"	8.64885062989313	0.75	"Optimal"
"0"	9.70619277398474	0.75	"Optimal"
"0"	10.7920173220633	0.75	"Optimal"
"0"	19.2750762258619	0.75	"Optimal"
"2"	6.65112836778944	0.917143539925994	"Optimal"
"2"	7.74137464334269	0.850621742952074	"Optimal"
"2"	8.61861830002437	0.783925419357663	"Optimal"
"2"	8.83021913329035	0.766877936192042	"Optimal"
"2"	9.88729021711115	0.75	"Optimal"
"2"	10.9728045597641	0.75	"Optimal"
"2"	12.0262770905113	0.75	"Optimal"
"2"	13.1077227022524	0.75	"Optimal"
"2"	19.2750762258619	0.75	"Optimal"
"3"	7.19641457339948	0.862622441901991	"Optimal"
"3"	8.28598424323118	0.804548520246039	"Optimal"
"3"	8.61861830002437	0.785460957315222	"Optimal"
"3"	9.3438529340385	0.75	"Optimal"
"3"	10.430282027488	0.75	"Optimal"
"3"	11.5148341338059	0.75	"Optimal"
"3"	12.5672808458201	0.75	"Optimal"
"3"	13.6475795311731	0.75	"Optimal"
"3"	19.2750762258619	0.75	"Optimal"
"4"	6.0145815155761	0.977522343729273	"Optimal"
"4"	7.07526718706908	0.937490281199372	"Optimal"
"4"	8.16499141813205	0.86104333311883	"Optimal"
"4"	8.61861830002437	0.819393214373607	"Optimal"
"4"	9.22303100149246	0.758661743564295	"Optimal"
"4"	10.3096568994118	0.75	"Optimal"
"4"	11.3643211697366	0.75	"Optimal"
"4"	12.4471055309926	0.75	"Optimal"
"4"	19.2750762258619	0.75	"Optimal"
"5"	2.58395295620234	0.999882283555327	"Optimal"
"5"	3.67769337721535	0.996185622877966	"Optimal"
"5"	4.74041165096911	0.958513664214779	"Optimal"
"5"	5.83264100195846	0.811762833371175	"Optimal"
"5"	6.92381071313246	0.75	"Optimal"
"5"	7.98346806543584	0.75	"Optimal"
"5"	8.61861830002437	0.75	"Optimal"
"5"	9.07197471219643	0.75	"Optimal"
"5"	19.2750762258619	0.75	"Optimal"
